"route_id","service_id","trip_id","trip_headsign","block_id","trip_short_name","shape_id","direction_id","wheelchair_accessible"
"TRE","M3","TRE_9764_V37_M","Temple University","9764","9764","701007","0","1"
"CHE","M1","CHE_7821_V85_M","Center City Philadelphia","7821","7821","720005","1","1"
"AIR","M2","AIR_474_V25_M","Center City Philadelphia","474","474","401005","0","1"
"TRE","M2","TRE_707_V26_M","Trenton","707","707","005701","1","1"
"NOR","M2","NOR_6259_V26_M","Gray 30th Street","6259","6259","228004","1","1"
"CHW","M1","CHW_9866_V55_M","Temple University","9866","9866","801007","0","1"
"CHE","M1","CHE_702_V85_M","Chestnut Hill East","702","702","005720","0","1"
"LAN","M3","LAN_547_V37_M","Center City Philadelphia","547","547","538005","1","1"
"AIR","M2","AIR_465_V63_M","Airport Terminal E F","465","465","005401","1","1"
"AIR","M3","AIR_457_V58_M","Airport Terminal E F","457","457","005401","1","1"
"PAO","M2","PAO_523_V25_M","Malvern","523","523","005505","1","1"
"NOR","M1","NOR_3234_V53_M","Norristown - Elm Street","3234","3234","005228","0","1"
"MED","M1","MED_2303_V50_M","Wawa","2303","2303","005300","1","1"
"TRE","M3","TRE_9704_V37_M","Temple University","9704","9704","701007","0","1"
"MED","M3","MED_3870_V37_M","Center City Philadelphia","3870","3870","300005","0","1"
"TRE","M1","TRE_737_V51_M","Trenton","737","737","005701","1","1"
"TRE","M3","TRE_731_V37_M","Trenton","731","731","005701","1","1"
"FOX","M3","FOX_8385_V37_M","Center City Philadelphia","8385","8385","815005","1","1"
"TRE","M2","TRE_710_V26_M","Center City Philadelphia","710","710","701005","0","1"
"CHW","M2","CHW_8336_V1_M","Center City Philadelphia","8336","8336","801005","0","1"
"AIR","M1","AIR_453_V50_M","Airport Terminal E F","453","453","005401","1","1"
"AIR","M1","AIR_468_V50_M","Center City Philadelphia","468","468","401005","0","1"
"WTR","M3","WTR_8320_V58_M","West Trenton","8320","8320","005327","0","1"
"AIR","M1","AIR_408_V50_M","Center City Philadelphia","408","408","401005","0","1"
"AIR","M1","AIR_4846_V55_M","Center City Philadelphia","4846","4846","401005","0","1"
"NOR","M3","NOR_232_V37_M","Norristown - Elm Street","232","232","005228","0","1"
"WAR","M2","WAR_429_V25_M","Center City Philadelphia","429","429","417005","1","1"
"TRE","M3","TRE_9701_V37_M","Trenton","9701","9701","007701","1","1"
"CHE","M2","CHE_726_V26_M","Chestnut Hill East","726","726","005720","0","1"
"PAO","M2","PAO_562_V26_M","Center City Philadelphia","562","562","505005","0","1"
"TRE","M3","TRE_9775_V37_M","Trenton","9775","9775","007701","1","1"
"TRE","M1","TRE_9754_V55_M","Temple University","9754","9754","701007","0","1"
"LAN","M1","LAN_5347_V55_M","Center City Philadelphia","5347","5347","538005","1","1"
"LAN","M1","LAN_6508_V12_M","Doylestown","6508","6508","004538","0","1"
"NOR","M3","NOR_204_V87_M","Norristown - Elm Street","204","204","005228","0","1"
"CHE","M1","CHE_732_V51_M","Chestnut Hill East","732","732","005720","0","1"
"WTR","M1","WTR_5304_V85_M","West Trenton","5304","5304","005327","0","1"
"AIR","M1","AIR_8455_V55_M","Airport Terminal E F","8455","8455","005401","1","1"
"FOX","M2","FOX_8391_V25_M","Center City Philadelphia","8391","8391","815005","1","1"
"MED","M1","MED_3206_V85_M","Center City Philadelphia","3206","3206","302005","0","1"
"PAO","M1","PAO_8503_V55_M","Malvern","8503","8503","005505","1","1"
"LAN","M2","LAN_547_V26_M","Center City Philadelphia","547","547","538005","1","1"
"AIR","M3","AIR_421_V37_M","Airport Terminal E F","421","421","005401","1","1"
"WAR","M3","WAR_416_V58_M","Glenside","416","416","005411","0","1"
"AIR","M2","AIR_9478_V85_M","Temple University","9478","9478","401007","0","1"
"TRE","M3","TRE_707_V37_M","Trenton","707","707","005701","1","1"
"MED","M3","MED_9300_V87_M","Temple University","9300","9300","300007","0","1"
