"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","wheelchair_accessible"
"NOR","SID184626","NOR2325_20250902","Center City Philadelphia","1","2325","228004","1"
"MED","SID184626","MED2325_20250902","Wawa","1","2325","007300","1"
"NOR","SID184626","NOR2327_20250902","Center City Philadelphia","1","2327","228004","1"
"MED","SID184626","MED2327_20250902","Wawa","1","2327","007300","1"
"NOR","SID184626","NOR2329_20250902","Center City Philadelphia","1","2329","228004","1"
"MED","SID184626","MED2329_20250902","Wawa","1","2329","007300","1"
"NOR","SID184626","NOR2331_20250902","Center City Philadelphia","1","2331","228004","1"
"MED","SID184626","MED2331_20250902","Wawa","1","2331","007300","1"
"NOR","SID184626","NOR2333_20250902","Center City Philadelphia","1","2333","228004","1"
"MED","SID184626","MED2333_20250902","Wawa","1","2333","007300","1"
"NOR","SID184626","NOR2335_20250902","Center City Philadelphia","1","2335","228004","1"
"MED","SID184626","MED2335_20250902","Wawa","1","2335","007300","1"
"WIL","SID184626","WIL2336_20250902","Center City Philadelphia","0","2336","201007","1"
"WTR","SID184626","WTR2336_20250902","West Trenton","0","2336","004327","1"
"NOR","SID184626","NOR2357_20250902","Center City Philadelphia","1","2357","228004","1"
"MED","SID184626","MED2357_20250902","Wawa","1","2357","007300","1"
"NOR","SID184625","NOR2409_20250831","Center City Philadelphia","1","2409","228004","1"
"AIR","SID184625","AIR2409_20250831","Airport Terminal E & F","1","2409","007401","1"
"NOR","SID184625","NOR2413_20250831","Center City Philadelphia","1","2413","228004","1"
"AIR","SID184625","AIR2413_20250831","Airport Terminal E & F","1","2413","007401","1"
"NOR","SID184625","NOR2417_20250831","Center City Philadelphia","1","2417","228004","1"
"AIR","SID184625","AIR2417_20250831","Airport Terminal E & F","1","2417","007401","1"
"NOR","SID184625","NOR2421_20250831","Center City Philadelphia","1","2421","228004","1"
"AIR","SID184625","AIR2421_20250831","Airport Terminal E & F","1","2421","007401","1"
"NOR","SID184625","NOR2425_20250831","Center City Philadelphia","1","2425","228004","1"
"AIR","SID184625","AIR2425_20250831","Airport Terminal E & F","1","2425","007401","1"
"NOR","SID184625","NOR2429_20250831","Center City Philadelphia","1","2429","228004","1"
"AIR","SID184625","AIR2429_20250831","Airport Terminal E & F","1","2429","007401","1"
