"block_id","direction_id","original_trip_id","route_id","trip_headsign","shape_id","service_id","trip_id","trip_short_name","wheelchair_accessible"
"a_473","1","WAR_473_V50_M","WAR","Center City Philadelphia","417007","M2_merged_815010","WAR_473_V50_M_merged_815839","473","1"
"b_227","1","NOR_227_V37_M","NOR","Center City Philadelphia","228007","M3_merged_815012","NOR_227_V37_M_merged_816182","227","1"
"b_5312","0","WTR_5312_V51_M","WTR","West Trenton","004327","M2_merged_815013","WTR_5312_V51_M_merged_816356","5312","1"
"a_2508","0","WIL_2508_V50_M","WIL","Center City Philadelphia","203406","M2_merged_815010","WIL_2508_V50_M_merged_815041","2508","1"
"a_5316","0","PAO_5316_V51_M","PAO","Center City Philadelphia","505004","M2_merged_815010","PAO_5316_V51_M_merged_815398","5316","1"
"b_421","1","AIR_421_V25_M","AIR","Airport Terminal E F","007401","M1_merged_815011","AIR_421_V25_M_merged_816572","421","1"
"a_805","1","FOX_805_V50_M","FOX","Center City Philadelphia","815004","M2_merged_815010","FOX_805_V50_M_merged_815048","805","1"
"a_403","1","WAR_403_V50_M","WAR","Center City Philadelphia","411007","M2_merged_815010","WAR_403_V50_M_merged_815467","403","1"
"b_468","0","WAR_468_V25_M","WAR","Warminster","406417","M1_merged_815011","WAR_468_V25_M_merged_816745","468","1"
"b_5239","1","WIL_5239_V51_M","WIL","Wilmington","007203","M2_merged_815013","WIL_5239_V51_M_merged_816279","5239","1"
"b_450","0","WAR_450_V37_M","WAR","Warminster","406417","M3_merged_815012","WAR_450_V37_M_merged_816657","450","1"
"b_555","1","LAN_555_V37_M","LAN","Center City Philadelphia","538007","M3_merged_815012","LAN_555_V37_M_merged_816299","555","1"
"b_2508","0","WIL_2508_V50_M","WIL","Center City Philadelphia","203406","M2_merged_815013","WIL_2508_V50_M_merged_815913","2508","1"
"a_708","0","CHE_708_V51_M","CHE","Chestnut Hill East","004720","M2_merged_815010","CHE_708_V51_M_merged_815771","708","1"
"b_719","1","CHE_719_V26_M","CHE","Center City Philadelphia","720007","M1_merged_815011","CHE_719_V26_M_merged_815982","719","1"
"a_366","0","WTR_366_V50_M","WTR","West Trenton","406327","M2_merged_815010","WTR_366_V50_M_merged_815168","366","1"
"a_2565","1","PAO_2565_V50_M","PAO","Malvern","007505","M2_merged_815010","PAO_2565_V50_M_merged_815053","2565","1"
"b_9700","0","TRE_9700_V51_M","TRE","Center City Philadelphia","701007","M2_merged_815013","TRE_9700_V51_M_merged_816402","9700","1"
"b_2512","0","WIL_2512_V50_M","WIL","Center City Philadelphia","205406","M2_merged_815013","WIL_2512_V50_M_merged_816175","2512","1"
"a_3441","1","AIR_3441_V37_M","AIR","Airport Terminal E F","007401","M3_merged_815009","AIR_3441_V37_M_merged_815269","3441","1"
"b_403","1","WAR_403_V37_M","WAR","Center City Philadelphia","411007","M3_merged_815012","WAR_403_V37_M_merged_816090","403","1"
"b_562","0","LAN_562_V26_M","LAN","Doylestown","004538","M1_merged_815011","LAN_562_V26_M_merged_816143","562","1"
"b_5300","0","PAO_5300_V50_M","PAO","Center City Philadelphia","505004","M2_merged_815013","PAO_5300_V50_M_merged_815953","5300","1"
"b_563","1","","PAO","Thorndale","007501","M3_merged_815012","PAO_563_V37_M","563","1"
"b_546","0","LAN_546_V37_M","LAN","Doylestown","004538","M3_merged_815012","LAN_546_V37_M_merged_816718","546","1"
"b_5229","1","WIL_5229_V51_M","WIL","Wilmington","007203","M2_merged_815013","WIL_5229_V51_M_merged_816291","5229","1"
"a_420","0","WAR_420_V50_M","WAR","Warminster","406417","M2_merged_815010","WAR_420_V50_M_merged_815373","420","1"
"a_417","1","AIR_417_V50_M","AIR","Airport Terminal E F","007401","M2_merged_815010","AIR_417_V50_M_merged_815883","417","1"
"a_704","0","CHE_704_V51_M","CHE","Chestnut Hill East","004720","M2_merged_815010","CHE_704_V51_M_merged_815443","704","1"
"b_207","1","NOR_207_V37_M","NOR","Center City Philadelphia","228007","M3_merged_815012","NOR_207_V37_M_merged_816251","207","1"
"b_2565","1","NOR_2565_V50_M","NOR","Center City Philadelphia","228007","M2_merged_815013","NOR_2565_V50_M_merged_816598","2565","1"
"b_3545","1","PAO_3545_V51_M","PAO","Malvern","007505","M2_merged_815013","PAO_3545_V51_M_merged_816346","3545","1"
"a_458","0","WAR_458_V37_M","WAR","Warminster","406417","M3_merged_815009","WAR_458_V37_M_merged_815464","458","1"
"b_827","1","FOX_827_V50_M","FOX","Center City Philadelphia","815004","M2_merged_815013","FOX_827_V50_M_merged_816111","827","1"
"b_4352","0","WTR_4352_V27_M","WTR","West Trenton","406327","M1_merged_815011","WTR_4352_V27_M_merged_816754","4352","1"
"b_708","0","CHE_708_V51_M","CHE","Chestnut Hill East","004720","M2_merged_815013","CHE_708_V51_M_merged_816643","708","1"
"b_1518","0","PAO_1518_V50_M","PAO","Center City Philadelphia","505006","M2_merged_815013","PAO_1518_V50_M_merged_816105","1518","1"
"a_223","1","WIL_223_V27_M","WIL","Wilmington","007203","M1_merged_815008","WIL_223_V27_M_merged_815456","223","1"
"a_403","1","WAR_403_V25_M","WAR","Center City Philadelphia","411007","M1_merged_815008","WAR_403_V25_M_merged_815667","403","1"
"a_409","1","WAR_409_V50_M","WAR","Center City Philadelphia","417007","M2_merged_815010","WAR_409_V50_M_merged_815164","409","1"
"b_450","0","AIR_450_V37_M","AIR","Center City Philadelphia","401406","M3_merged_815012","AIR_450_V37_M_merged_816401","450","1"
"a_735","1","TRE_735_V51_M","TRE","Trenton","007701","M2_merged_815010","TRE_735_V51_M_merged_815867","735","1"
"b_9514","0","PAO_9514_V51_M","PAO","Center City Philadelphia","501007","M2_merged_815013","PAO_9514_V51_M_merged_816110","9514","1"
"a_718","0","TRE_718_V37_M","TRE","Center City Philadelphia","701004","M3_merged_815009","TRE_718_V37_M_merged_815448","718","1"
"b_403","1","WAR_403_V50_M","WAR","Center City Philadelphia","411007","M2_merged_815013","WAR_403_V50_M_merged_816339","403","1"
"b_515","1","LAN_515_V37_M","LAN","Center City Philadelphia","538007","M3_merged_815012","LAN_515_V37_M_merged_816136","515","1"
"b_216","0","NOR_216_V26_M","NOR","Norristown - Elm Street","406228","M1_merged_815011","NOR_216_V26_M_merged_816580","216","1"
"a_822","0","FOX_822_V50_M","FOX","Fox Chase","004815","M2_merged_815010","FOX_822_V50_M_merged_815355","822","1"
"b_436","0","WAR_436_V50_M","WAR","Warminster","406417","M2_merged_815013","WAR_436_V50_M_merged_815945","436","1"
"b_5344","0","WTR_5344_V51_M","WTR","West Trenton","004327","M2_merged_815013","WTR_5344_V51_M_merged_816742","5344","1"
"b_2514","0","WIL_2514_V50_M","WIL","Center City Philadelphia","203406","M2_merged_815013","WIL_2514_V50_M_merged_816255","2514","1"
"b_728","0","CHE_728_V51_M","CHE","Chestnut Hill East","004720","M2_merged_815013","CHE_728_V51_M_merged_816246","728","1"
"b_724","0","CHE_724_V51_M","CHE","Chestnut Hill East","004720","M2_merged_815013","CHE_724_V51_M_merged_815960","724","1"
"a_8381","1","FOX_8381_V25_M","FOX","Center City Philadelphia","815007","M1_merged_815008","FOX_8381_V25_M_merged_815834","8381","1"
"b_870","0","FOX_870_V50_M","FOX","Fox Chase","004815","M2_merged_815013","FOX_870_V50_M_merged_816748","870","1"
"a_410","0","AIR_410_V25_M","AIR","Center City Philadelphia","401406","M1_merged_815008","AIR_410_V25_M_merged_815307","410","1"
"a_9720","0","TRE_9720_V51_M","TRE","Center City Philadelphia","701007","M2_merged_815010","TRE_9720_V51_M_merged_815405","9720","1"
"a_445","1","WAR_445_V37_M","WAR","Center City Philadelphia","417007","M3_merged_815009","WAR_445_V37_M_merged_815710","445","1"
"a_3409","1","WTR_3409_V27_M","WTR","Center City Philadelphia","327007","M1_merged_815008","WTR_3409_V27_M_merged_815573","3409","1"
"a_5227","1","LAN_5227_V51_M","LAN","Center City Philadelphia","538007","M2_merged_815010","LAN_5227_V51_M_merged_815674","5227","1"
"b_3208","0","NOR_3208_V50_M","NOR","Norristown - Elm Street","406228","M2_merged_815013","NOR_3208_V50_M_merged_815973","3208","1"
"a_9319","1","MED_9319_V52_M","MED","Media/Elwyn","007301","M2_merged_815010","MED_9319_V52_M_merged_815823","9319","1"
"b_574","0","","PAO","Center City Philadelphia","505004","M3_merged_815012","PAO_574_V37_M","574","1"
"b_2329","1","MED_2329_V50_M","MED","Elwyn","007301","M2_merged_815013","MED_2329_V50_M_merged_815939","2329","1"
