service_id,date,exception_type
17,20150724,1
17,20150725,1
17,20150726,1
17,20150727,1
17,20150728,1
17,20150729,1
17,20150730,1
17,20150731,1
17,20150801,1
17,20150802,1
17,20150803,1
17,20150804,1
17,20150805,1
17,20150806,1
17,20150807,1
17,20150808,1
17,20150809,1
17,20150810,1
17,20150811,1
17,20150812,1
17,20150813,1
17,20150814,1
17,20150815,1
17,20150816,1
17,20150817,1
17,20150818,1
17,20150819,1
17,20150820,1
17,20150821,1
17,20150822,1
17,20150823,1
17,20150824,1
17,20150825,1
17,20150826,1
17,20150827,1
17,20150828,1
17,20150829,1
18,20150919,1
18,20150926,1
18,20151003,1
18,20151010,1
18,20151017,1
18,20151024,1
18,20151031,1
18,20151107,1
18,20151114,1
18,20151121,1
18,20151128,1
18,20151205,1
18,20151212,1
18,20151219,1
18,20151226,1
19,20150904,1
19,20150905,1
19,20150906,1
20,20150920,1
20,20150927,1
20,20151004,1
20,20151011,1
20,20151018,1
20,20151025,1
20,20151101,1
20,20151108,1
20,20151115,1
20,20151122,1
20,20151129,1
20,20151206,1
20,20151213,1
20,20151220,1
21,20150830,1
21,20150901,1
21,20150902,1
21,20150912,1
21,20150913,1
22,20150911,1
22,20150918,1
22,20150925,1
22,20151002,1
22,20151009,1
22,20151016,1
22,20151023,1
22,20151030,1
22,20151106,1
22,20151113,1
22,20151120,1
22,20151127,1
22,20151204,1
22,20151211,1
22,20151218,1
22,20151225,1
23,20150831,1
23,20150903,1
23,20150907,1
23,20150908,1
23,20150909,1
23,20150910,1
23,20150914,1
23,20150915,1
23,20150916,1
23,20150917,1
23,20150921,1
23,20150922,1
23,20150923,1
23,20150924,1
23,20150928,1
23,20150929,1
23,20150930,1
23,20151001,1
23,20151005,1
23,20151006,1
23,20151007,1
23,20151008,1
23,20151012,1
23,20151013,1
23,20151014,1
23,20151015,1
23,20151019,1
23,20151020,1
23,20151021,1
23,20151022,1
23,20151026,1
23,20151027,1
23,20151028,1
23,20151029,1
23,20151102,1
23,20151103,1
23,20151104,1
23,20151105,1
23,20151109,1
23,20151110,1
23,20151111,1
23,20151112,1
23,20151116,1
23,20151117,1
23,20151118,1
23,20151119,1
23,20151123,1
23,20151124,1
23,20151125,1
23,20151126,1
23,20151130,1
23,20151201,1
23,20151202,1
23,20151203,1
23,20151207,1
23,20151208,1
23,20151209,1
23,20151210,1
23,20151214,1
23,20151215,1
23,20151216,1
23,20151217,1
23,20151221,1
23,20151222,1
23,20151223,1
23,20151224,1
24,20150831,1
24,20150903,1
24,20150907,1
24,20150908,1
24,20150909,1
24,20150910,1
24,20150911,1
24,20150914,1
24,20150915,1
24,20150916,1
24,20150917,1
24,20150918,1
24,20150921,1
24,20150922,1
24,20150923,1
24,20150924,1
24,20150925,1
24,20150928,1
24,20150929,1
24,20150930,1
24,20151001,1
24,20151002,1
24,20151005,1
24,20151006,1
24,20151007,1
24,20151008,1
24,20151009,1
24,20151012,1
24,20151013,1
24,20151014,1
24,20151015,1
24,20151016,1
24,20151019,1
24,20151020,1
24,20151021,1
24,20151022,1
24,20151023,1
24,20151026,1
24,20151027,1
24,20151028,1
24,20151029,1
24,20151030,1
24,20151102,1
24,20151103,1
24,20151104,1
24,20151105,1
24,20151106,1
24,20151109,1
24,20151110,1
24,20151111,1
24,20151112,1
24,20151113,1
24,20151116,1
24,20151117,1
24,20151118,1
24,20151119,1
24,20151120,1
24,20151123,1
24,20151124,1
24,20151125,1
24,20151126,1
24,20151127,1
24,20151130,1
24,20151201,1
24,20151202,1
24,20151203,1
24,20151204,1
24,20151207,1
24,20151208,1
24,20151209,1
