route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id,direction_id
AIR,M2,AIR_404_V7_M,Center City Philadelphia,404,404,401406,0
WIL,M1,WIL_211_V6_M,Marcus Hook,211,211,007205,1
AIR,M1,AIR_4708_V6_M,Center City Philadelphia,4708,4708,401406,0
WAR,M1,WAR_414_V6_M,Warminster,414,414,406417,0
CHW,M2,CHW_831_V7_M,Chestnut Hill West,831,831,007801,1
NOR,M2,NOR_211_V7_M,Center City Philadelphia,211,211,228007,1
AIR,M2,AIR_426_V7_M,Center City Philadelphia,426,426,401406,0
WAR,M1,WAR_458_V6_M,Warminster,458,458,406417,0
NOR,M2,NOR_214_V7_M,Norristown - Elm Street,214,214,406228,0
WAR,M2,WAR_476_V7_M,Glenside,476,476,406411,0
MED,M2,MED_3512_V7_M,Center City Philadelphia,3512,3512,305406,0
PAO,M2,PAO_5368_V7_M,Center City Philadelphia,5368,5368,505004,0
WIL,M1,WIL_235_V6_M,Marcus Hook,235,235,007205,1
CHE,M2,CHE_7465_V7_M,Center City Philadelphia,7465,7465,720007,1
WTR,M2,WTR_5338_V7_M,West Trenton,5338,5338,004327,0
WAR,M2,WAR_427_V7_M,Center City Philadelphia,427,427,417007,1
AIR,M1,AIR_7425_V6_M,Airport Terminal E F,7425,7425,007401,1
WAR,M2,WAR_447_V7_M,Center City Philadelphia,447,447,417007,1
PAO,M1,PAO_5354_V66_M,Center City Philadelphia,5354,5354,505004,0
CHW,M2,CHW_848_V7_M,Center City Philadelphia,848,848,801004,0
TRE,M2,TRE_9735_V7_M,Trenton,9735,9735,007701,1
CHE,M1,CHE_7413_V6_M,Center City Philadelphia,7413,7413,720007,1
WTR,M1,WTR_306_V6_M,West Trenton,306,306,406327,0
NOR,M2,NOR_222_V7_M,Norristown - Elm Street,222,222,406228,0
AIR,M2,AIR_455_V7_M,Airport Terminal E F,455,455,007401,1
WAR,M2,WAR_407_V7_M,Center City Philadelphia,407,407,417007,1
WTR,M1,WTR_3547_V6_M,Center City Philadelphia,3547,3547,327007,1
LAN,M1,LAN_3526_V6_M,Doylestown,3526,3526,406538,0
TRE,M1,TRE_9734_V6_M,Center City Philadelphia,9734,9734,701007,0
MED,M1,MED_9301_V6_M,Center City Philadelphia,9301,9301,008305,1
NOR,M2,NOR_213_V7_M,Center City Philadelphia,213,213,228007,1
LAN,M2,LAN_5319_V7_M,Center City Philadelphia,5319,5319,538007,1
CHE,M1,CHE_738_V6_M,Chestnut Hill East,738,738,004720,0
MED,M1,MED_5325_V6_M,Swarthmore,5325,5325,007305,1
FOX,M1,FOX_862_V6_M,Fox Chase,862,862,004815,0
PAO,M1,PAO_1525_V66_M,Paoli/Thorndale,1525,1525,006505,1
TRE,M2,TRE_9705_V7_M,Trenton,9705,9705,007701,1
AIR,M2,AIR_7425_V7_M,Airport Terminal E F,7425,7425,007401,1
PAO,M2,PAO_5360_V7_M,Center City Philadelphia,5360,5360,505004,0
AIR,M2,AIR_443_V7_M,Airport Terminal E F,443,443,007401,1
WAR,M1,WAR_442_V6_M,Warminster,442,442,406417,0
AIR,M2,AIR_7445_V7_M,Airport Terminal E F,7445,7445,007401,1
LAN,M2,LAN_3532_V7_M,Doylestown,3532,3532,406538,0
CHW,M2,CHW_860_V7_M,Center City Philadelphia,860,860,801004,0
CHE,M2,CHE_7425_V7_M,Center City Philadelphia,7425,7425,720007,1
TRE,M2,TRE_9708_V7_M,Center City Philadelphia,9708,9708,701007,0
LAN,M2,LAN_5313_V7_M,Center City Philadelphia,5313,5313,538007,1
AIR,M1,AIR_430_V6_M,Center City Philadelphia,430,430,401406,0
WTR,M2,WTR_5318_V7_M,West Trenton,5318,5318,004327,0
WAR,M1,WAR_405_V6_M,Center City Philadelphia,405,405,411007,1
CHE,M1,CHE_4748_V6_M,Chestnut Hill East,4748,4748,406720,0
TRE,M1,TRE_9736_V6_M,Center City Philadelphia,9736,9736,701007,0
