Routeid|ATISID|Route|DOW|Dir|SG|Begindate|Enddate|Start_TripId|End_TripId|status_id
       5|459717|      MNBN|0|I|41|20190908|20190908| 1224| 1224|
       5|459718|      MNBN|0|I|42|20190908|20190908| 1225| 1225|
       5|459719|      MNBN|0|I|43|20190908|20190908| 1226| 1226|
       5|459720|      MNBN|0|I|44|20190908|20190908| 1227| 1227|
       5|459721|      MNBN|0|I|45|20190908|20190908| 1228| 1228|
       5|459722|      MNBN|0|I|46|20190908|20190908| 1229| 1229|
       5|459723|      MNBN|0|I|47|20190908|20190908| 1230| 1230|
       5|459724|      MNBN|0|I|48|20190908|20190908| 1231| 1231|
       5|459725|      MNBN|0|I|49|20190908|20190908| 1232| 1232|
       5|459726|      MNBN|0|I|50|20190908|20190908| 1233| 1233|
       5|459727|      MNBN|0|I|51|20190908|20190908| 1234| 1234|
       5|459728|      MNBN|0|I|52|20190908|20190908| 1235| 1235|
       5|459729|      MNBN|0|I|53|20190908|20190908| 1236| 1236|
       5|459730|      MNBN|0|I|54|20190908|20190908| 1237| 1237|
       5|459731|      MNBN|0|I|55|20190908|20190908| 1238| 1238|
       5|459732|      MNBN|0|I|56|20190908|20190908| 1239| 1239|
       5|459733|      MNBN|0|I|57|20190908|20190908| 1240| 1240|
       5|459734|      MNBN|0|I|58|20190908|20190908| 1241| 1241|
       5|459735|      MNBN|0|I|59|20190908|20190908| 1242| 1242|
       5|459736|      MNBN|0|I|60|20190908|20190908| 1243| 1243|
       5|459737|      MNBN|0|I|61|20190908|20190908| 1244| 1244|
       5|459738|      MNBN|0|I|62|20190908|20190908| 1245| 1245|
       5|459739|      MNBN|0|I|63|20190908|20190908| 1246| 1246|
       5|459740|      MNBN|0|I|64|20190908|20190908| 1247| 1247|
       5|459741|      MNBN|0|I|65|20190908|20190908| 1248| 1248|
       5|459742|      MNBN|0|I|66|20190908|20190908| 1249| 1249|
       5|459743|      MNBN|0|I|67|20190908|20190908| 1250| 1250|
       5|459744|      MNBN|0|I|68|20190908|20190908| 1251| 1251|
       5|459745|      MNBN|0|I|69|20190908|20190908| 1252| 1252|
       5|478417|      MNBN|0|I|70|20191112|20191112| 1253| 1253|
       5|478418|      MNBN|0|I|71|20191112|20191112| 1254| 1254|
       5|478419|      MNBN|0|I|72|20191112|20191112| 1255| 1255|
       5|478420|      MNBN|0|I|73|20191112|20191112| 1256| 1256|
