from_stop_id,to_stop_id,transfer_type,from_trip_id,to_trip_id
90005,90005,4,AIR4232_20260621_SID186629,NOR4232_20260621_SID186629
90005,90005,4,AIR4232_20260621_SID189896_SID189896,NOR4232_20260621_SID189896_SID189896
90005,90005,4,AIR4232_20260815_SID189412_SID189412,NOR4232_20260815_SID189412_SID189412
90005,90005,4,AIR4236_20260621_SID186629,NOR4236_20260621_SID186629
90005,90005,4,AIR4236_20260621_SID189896_SID189896,NOR4236_20260621_SID189896_SID189896
90005,90005,4,AIR4236_20260815_SID189412_SID189412,NOR4236_20260815_SID189412_SID189412
90005,90005,4,AIR4240_20260621_SID186629,NOR4240_20260621_SID186629
90005,90005,4,AIR4240_20260621_SID189896_SID189896,NOR4240_20260621_SID189896_SID189896
90005,90005,4,AIR4240_20260815_SID189412_SID189412,NOR4240_20260815_SID189412_SID189412
90005,90005,4,AIR4244_20260621_SID186629,NOR4244_20260621_SID186629
90005,90005,4,AIR4244_20260621_SID189896_SID189896,NOR4244_20260621_SID189896_SID189896
90005,90005,4,AIR4244_20260815_SID189412_SID189412,NOR4244_20260815_SID189412_SID189412
90005,90005,4,AIR4248_20260621_SID186629,NOR4248_20260621_SID186629
90005,90005,4,AIR4248_20260621_SID189896_SID189896,NOR4248_20260621_SID189896_SID189896
90005,90005,4,AIR4248_20260815_SID189412_SID189412,NOR4248_20260815_SID189412_SID189412
90005,90005,4,AIR424_20260622_SID186626,WAR424_20260622_SID186626
90005,90005,4,AIR424_20260622_SID189324_SID189324,WAR424_20260622_SID189324_SID189324
90005,90005,4,AIR4252_20260621_SID186629,NOR4252_20260621_SID186629
90005,90005,4,AIR4252_20260621_SID189896_SID189896,NOR4252_20260621_SID189896_SID189896
90005,90005,4,AIR4252_20260815_SID189412_SID189412,NOR4252_20260815_SID189412_SID189412
90005,90005,4,AIR4256_20260621_SID186629,NOR4256_20260621_SID186629
90005,90005,4,AIR4256_20260621_SID189896_SID189896,NOR4256_20260621_SID189896_SID189896
90005,90005,4,AIR4256_20260815_SID189412_SID189412,NOR4256_20260815_SID189412_SID189412
90005,90005,4,WAR425_20260622_SID186626,AIR425_20260622_SID186626
90005,90005,4,WAR425_20260622_SID189324_SID189324,AIR425_20260622_SID189324_SID189324
90005,90005,4,AIR4260_20260621_SID186629,NOR4260_20260621_SID186629
90005,90005,4,AIR4260_20260621_SID189896_SID189896,NOR4260_20260621_SID189896_SID189896
90005,90005,4,AIR4260_20260815_SID189412_SID189412,NOR4260_20260815_SID189412_SID189412
90005,90005,4,AIR4264_20260621_SID186629,NOR4264_20260621_SID186629
90005,90005,4,AIR4264_20260621_SID189896_SID189896,NOR4264_20260621_SID189896_SID189896
90005,90005,4,AIR4264_20260815_SID189412_SID189412,NOR4264_20260815_SID189412_SID189412
90005,90005,4,AIR4268_20260621_SID186629,NOR4268_20260621_SID186629
90005,90005,4,AIR4268_20260621_SID189896_SID189896,NOR4268_20260621_SID189896_SID189896
90005,90005,4,AIR4268_20260815_SID189412_SID189412,NOR4268_20260815_SID189412_SID189412
90005,90005,4,AIR4272_20260621_SID186629,NOR4272_20260621_SID186629
90005,90005,4,AIR4272_20260621_SID189896_SID189896,NOR4272_20260621_SID189896_SID189896
90005,90005,4,AIR4272_20260815_SID189412_SID189412,NOR4272_20260815_SID189412_SID189412
