route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
FOX,SID189324,FOX826_20260622_SID189324_SID189324,Fox Chase,FOX826,0,826,004815,1,0
CHW,SID189324,CHW8280_20260622_SID189324_SID189324,Center City Philadelphia,CHW8280,0,8280,801007,1,2
NOR,SID189324,NOR8280_20260622_SID189324_SID189324,Miquon,NOR8280,0,8280,004228,1,2
FOX,SID189324,FOX829_20260622_SID189324_SID189324,Center City Philadelphia,FOX829,1,829,815005,1,0
CHW,SID189324,CHW829_20260622_SID189324_SID189324,Chestnut Hill West,CHW829,1,829,007801,1,0
WIL,SID189324,WIL8299_20260622_SID189324_SID189324,Newark DE,WIL8299,1,8299,007201,1,2
CHW,SID189324,CHW830_20260622_SID189324_SID189324,Center City Philadelphia,CHW830,0,830,801007,1,0
FOX,SID189324,FOX830_20260622_SID189324_SID189324,Fox Chase,FOX830,0,830,004815,1,0
CHW,SID189779,CHW8312_20260621_SID189779_SID189779,Center City Philadelphia,CHW8312,0,8312,801007,1,0
WTR,SID189779,WTR8312_20260621_SID189779_SID189779,West Trenton,WTR8312,0,8312,004327,1,0
CHW,SID189779,CHW8320_20260621_SID189779_SID189779,Center City Philadelphia,CHW8320,0,8320,801007,1,0
WTR,SID189779,WTR8320_20260621_SID189779_SID189779,West Trenton,WTR8320,0,8320,004327,1,0
CHW,SID189779,CHW8328_20260621_SID189779_SID189779,Center City Philadelphia,CHW8328,0,8328,801007,1,0
WTR,SID189779,WTR8328_20260621_SID189779_SID189779,West Trenton,WTR8328,0,8328,004327,1,0
FOX,SID189324,FOX833_20260622_SID189324_SID189324,Center City Philadelphia,FOX833,1,833,815005,1,0
CHW,SID189324,CHW833_20260622_SID189324_SID189324,Chestnut Hill West,CHW833,1,833,007801,1,0
CHW,SID189779,CHW8336_20260621_SID189779_SID189779,Center City Philadelphia,CHW8336,0,8336,801007,1,0
WTR,SID189779,WTR8336_20260621_SID189779_SID189779,West Trenton,WTR8336,0,8336,004327,1,0
CHW,SID189324,CHW834_20260622_SID189324_SID189324,Center City Philadelphia,CHW834,0,834,801007,1,0
FOX,SID189324,FOX834_20260622_SID189324_SID189324,Fox Chase,FOX834,0,834,004815,1,0
CHW,SID189779,CHW8344_20260621_SID189779_SID189779,Center City Philadelphia,CHW8344,0,8344,801007,1,0
WTR,SID189779,WTR8344_20260621_SID189779_SID189779,West Trenton,WTR8344,0,8344,004327,1,0
CHW,SID189779,CHW8352_20260621_SID189779_SID189779,Center City Philadelphia,CHW8352,0,8352,801007,1,0
WTR,SID189779,WTR8352_20260621_SID189779_SID189779,West Trenton,WTR8352,0,8352,004327,1,0
CHW,SID189779,CHW8360_20260621_SID189779_SID189779,Center City Philadelphia,CHW8360,0,8360,801007,1,0
WTR,SID189779,WTR8360_20260621_SID189779_SID189779,West Trenton,WTR8360,0,8360,004327,1,0
CHW,SID189779,CHW8368_20260621_SID189779_SID189779,Center City Philadelphia,CHW8368,0,8368,801007,1,0
WTR,SID189779,WTR8368_20260621_SID189779_SID189779,West Trenton,WTR8368,0,8368,004327,1,0
FOX,SID189324,FOX837_20260622_SID189324_SID189324,Center City Philadelphia,FOX837,1,837,815005,1,0
CHW,SID189324,CHW837_20260622_SID189324_SID189324,Chestnut Hill West,CHW837,1,837,007801,1,0
CHW,SID189779,CHW8376_20260621_SID189779_SID189779,Center City Philadelphia,CHW8376,0,8376,801007,1,0
WTR,SID189779,WTR8376_20260621_SID189779_SID189779,West Trenton,WTR8376,0,8376,004327,1,0
CHW,SID189324,CHW838_20260622_SID189324_SID189324,Center City Philadelphia,CHW838,0,838,801007,1,0
