route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_short_name
AIR,SID189324,AIR7455_20260622_SID189324,Airport Terminals E & F,1,7455,007401,2,1,AIR7455
CHE,SID189324,CHE7459_20260622_SID189324,Center City Philadelphia,1,7459,720004,2,1,CHE7459
AIR,SID189324,AIR7459_20260622_SID189324,Airport Terminals E & F,1,7459,007401,0,1,AIR7459
CHE,SID189324,CHE7463_20260622_SID189324,Center City Philadelphia,1,7463,720004,0,1,CHE7463
AIR,SID189324,AIR7463_20260622_SID189324,Airport Terminals E & F,1,7463,007401,0,1,AIR7463
CHE,SID189324,CHE7467_20260622_SID189324,Center City Philadelphia,1,7467,720004,0,1,CHE7467
AIR,SID189324,AIR7467_20260622_SID189324,Airport Terminals E & F,1,7467,007401,0,1,AIR7467
CHE,SID189324,CHE7471_20260622_SID189324,Center City Philadelphia,1,7471,720004,0,1,CHE7471
AIR,SID189324,AIR7471_20260622_SID189324,Airport Terminals E & F,1,7471,007401,0,1,AIR7471
CHE,SID189324,CHE7475_20260622_SID189324,Center City Philadelphia,1,7475,720004,0,1,CHE7475
AIR,SID189324,AIR7475_20260622_SID189324,Airport Terminals E & F,1,7475,007401,0,1,AIR7475
CHE,SID189324,CHE7587_20260622_SID189324,Center City Philadelphia,1,7587,720004,2,1,CHE7587
PAO,SID189324,PAO7587_20260622_SID189324,Malvern,1,7587,007501,2,1,PAO7587
TRE,SID189324,TRE780_20260622_SID189324,Center City Philadelphia,0,780,701007,0,1,TRE780
CHE,SID189324,CHE780_20260622_SID189324,Chestnut Hill East,0,780,004720,2,1,CHE780
TRE,SID189324,TRE782_20260622_SID189324,Center City Philadelphia,0,782,701007,2,1,TRE782
CHE,SID189324,CHE782_20260622_SID189324,Chestnut Hill East,0,782,004720,2,1,CHE782
CHE,SID189324,CHE783_20260622_SID189324,Center City Philadelphia,1,783,720004,2,1,CHE783
TRE,SID189324,TRE783_20260622_SID189324,Trenton,1,783,007701,2,1,TRE783
CHE,SID189324,CHE785_20260622_SID189324,Center City Philadelphia,1,785,720004,2,1,CHE785
TRE,SID189324,TRE785_20260622_SID189324,Trenton,1,785,007701,2,1,TRE785
TRE,SID189324,TRE786_20260622_SID189324,Center City Philadelphia,0,786,701007,0,1,TRE786
CHE,SID189324,CHE786_20260622_SID189324,Chestnut Hill East,0,786,004720,0,1,CHE786
CHE,SID189324,CHE789_20260622_SID189324,Center City Philadelphia,1,789,720004,0,1,CHE789
